"table","legacy_field","curated_field","curated_type","sentinel_rows","vocab_candidates","sentinel_no_vocab","already_in_known_issues","already_in_issue_report","already_self_documented","in_spreadsheet","spreadsheet_conflict"
"HL","TotalNo","TotalNumber","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","Valid_Aphia","Valid_Aphia","number(id)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"HL","Year","Year","number(ordinal)",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
"LT","BottomDepth","BottomDepth","number(quantity)",139,0,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"LT","CodendMesh","CodendMesh","number(quantity)",22672,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","Country","Country","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","DataType","DataType","enum",20,1,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"LT","DateofCalculation","DateofCalculation","number(ordinal)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","Day","Day","number(ordinal)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","Depth","Depth","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","Distance","Distance","number(quantity)",996,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","DoorSpread","DoorSpread","number(quantity)",25658,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","DoorSurface","DoorSurface","number(quantity)",27021,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","DoorType","DoorType","enum",32422,2,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"LT","DoorWgt","DoorWeight","number(quantity)",26904,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","EEZ","EEZ","string",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","Gear","Gear","enum",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","GearEx","GearExceptions","enum",26856,1,FALSE,TRUE,TRUE,TRUE,FALSE,NA
"LT","GroundSpeed","SpeedGround","number(quantity)",10224,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","HaulDur","HaulDuration","number(quantity)",0,0,FALSE,TRUE,TRUE,TRUE,FALSE,NA
"LT","HaulLat","HaulLatitude","number(quantity)",4,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","HaulLong","HaulLongitude","number(quantity)",4,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","HaulNo","HaulNumber","number(ordinal)",0,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"LT","HaulVal","HaulValidity","enum",0,1,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","LTPRP","LTPRP","string",54208,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"LT","LTREF","LTREF","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
